Course,Name,Description,Notes,Prerequisites,Corequisites,Antirequisites
AFM401,"Accounting Theory","A review of accounting theory as a background for applying underlying concepts to current accounting problems. Emphasis is on current literature, with a major term paper required.","","Prereq: AFM 391 or AFM 491; Accounting and Financial Management,Biotechnology/Chartered Professional Accountancy, Computing and FinancialManagement, or Mathematics/Chartered Professional Accountancy students","",""
AFM415,"Special Topics","A course offered from time to time on a significant accounting and financial management issue. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times.]","","",""
AFM416,"Special Topics in Finance","A course offered from time to time on a significant finance issue. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times.]","","",""
AFM417,"Special Topics in Accounting","A course offered from time to time on a significant accounting issue. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times.]","","",""
AFM418,"Special Topics in Finance or Accounting","A course offered from time to time in relation to a significant school-related accounting or finance project or activity. ","[Note: Course will be graded on a CR/NCR basis. This is a repeatable course, subject to different content; it may be completed a total of four times.]","Prereq: Accounting & Financial Management, Computing & Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Professional Accountancy students","",""
AFM422,"Management of Financial Institutions","This course focuses on the economics of financial institutions, particularly commercial banks. Issues related to commercial and investment banking and other financial intermediaries as well as financial markets and regulatory entities are examined.","","Prereq: AFM 272/ACTSC 291 or AFM 273.","","Antireq: ACTSC 445, MATBUS 472"
AFM423,"Topics in Financial Econometrics","This course introduces the use of advanced econometric/statistical methods in studying financial market data, and in quantitatively assessing risks associated with financial investments. The methods presented in this course are tailored to address specific issues of interest in finance, such as the quantification of the risk-return tradeoff, the modelling of time-varying stock/bond market volatility and, possibly, also the statistical analysis of financial derivatives such as options. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times.]","Prereq: One of AFM 323/STAT 374, STAT 331, STAT 371, STAT 373","",""
AFM424,"Equity Investments","This course addresses principles of equity investments, including risk and return relationships, fundamental analysis of equities based on macroeconomic, industry and company-specific factors, financial statement analysis, and technical analysis. Portfolio allocation, performance measurement, and ethical and professional standards in the investment profession are also covered.","","Prereq: One of AFM 272/ACTSC 291, AFM 273, ACTSC 372, ECON 371.","","Antireq: BUS 473W"
AFM425,"Fixed Income Securities","Introduction to various aspects of fixed income investments, including valuation, risk management, portfolio management, interest rate models, interest rate derivatives, and institutional features of bond markets.","","Prereq: AFM 272/ACTSC 291 or AFM 273.","","Antireq: MATBUS 471"
AFM426,"Student Venture Fund-Associate","This course provides students hands-on training in early-stage (angel and venture capital) investing with guidance from industry experts and supervision by faculty. Associates will attend investment meetings, organize due diligence, supervise analysts, make investment recommendations, be involved in deal terms, and manage portfolio holdings. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times. Course is graded on a CR/NCR basis.]","Prereq: AFM 274 or AFM 275/AFM 372/ACTSC 391; Accounting and Financial Management, Biotechnology/CPA, Computing and Financial Management, Mathematics/CPA, or Sustainability and Financial Management students","",""
AFM427,"Intermediate Portfolio Management","This course focusses on the theory and practice of passive and active portfolio management focusing on both traditional and alternative investment assets. The course traces the process of development of the portfolio objective and investment thesis, asset selection, performance and risk measurement, and monitoring and stakeholder reporting. The course utilizes business analytics practices with a focus on the role of the financial analyst in an increasingly automated world.","","Prereq: AFM 244; AFM 272 or AFM 273; Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy, Mathematics/Chartered Professional Accountancy, or Sustainability and Financial Management students","",""
AFM428,"Investment Management - Junior Portfolio Manager","This course provides students hands-on training in equity valuation and portfolio management. As a junior portfolio manager, a student will make allocations in two sectors, monitor the performance of the existing equity holdings in these two sectors, mentor two analysts, make equity trading decisions for these two sectors, and present portfolio performance reports to the investment team and the advisory board. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of four times.]","Prereq: AFM 274 or AFM 275/AFM 372/ACTSC 391; Accounting and Financial Management, Biotechnology/CPA, Computing and Financial Management, Mathematics/CPA, or Sustainability and Financial Management students","",""
